# Frame 1:
1.500364711711979146e-02 8.828026954398670656e-04 6.315366581486533404e-01
3.537122303071841894e-04 1.317469260523254811e-02 7.750054661962215707e-01
4.324525213860737661e-06 6.580214231664654651e-07 1.133094683932711275e-02
# Frame 78:
-1.509469390658834016e-02 -8.915506501095398374e-04 -6.280940506275246582e-01
-3.700322066217324839e-04 -1.320793384004693115e-02 -7.777953610423233854e-01
-4.422542826986588119e-06 -6.149712095451838613e-07 -1.135820410809012908e-02
# Frame 79:
1.520618298442504707e-02 8.963636525737726443e-04 6.326605726393805806e-01
3.859633401419782406e-04 1.332260021592515144e-02 7.740801636620902038e-01
4.462913321845806882e-06 6.172588693506997873e-07 1.143800328804131863e-02
# Frame 80:
1.499767775088439031e-02 9.289849595496544633e-04 6.332060520568454365e-01
3.648543207548124814e-04 1.318962625113436274e-02 7.736420610014903554e-01
4.352775565127891225e-06 7.089328003033195092e-07 1.132096984386982662e-02
# Frame 81:
-1.522752202748975034e-02 -9.192135639155292861e-04 -6.280717684358007036e-01
-3.746278709993350916e-04 -1.330915291441897921e-02 -7.778078786845344927e-01
-4.472160675693869808e-06 -6.771814946253341958e-07 -1.143508861866738245e-02
# Frame 82:
1.504507204399768705e-02 8.675791135694658389e-04 6.350646649945742572e-01
3.557600599609761754e-04 1.317380500161297215e-02 7.721158754429182647e-01
4.352083450448817466e-06 5.540473282397771967e-07 1.136501453275404715e-02
# Frame 83:
1.504813156453504823e-02 8.700549037544584108e-04 6.339666026962047507e-01
3.688974193996412388e-04 1.316022763072761427e-02 7.730177589700931717e-01
4.356906404422289646e-06 5.364192836101884812e-07 1.137365498419069289e-02
# Frame 84:
1.505962800046403358e-02 8.699350306935212497e-04 6.317838079130821960e-01
3.771482224030899238e-04 1.313291896357274627e-02 7.748030609203614416e-01
4.382631936862922430e-06 4.922462619725819904e-07 1.136977766181330833e-02
# Frame 85:
1.505488895698408637e-02 8.411545621317749293e-04 6.355051087335477078e-01
3.804604661977072826e-04 1.312079900236264203e-02 7.717540120905515000e-01
4.355883337511173472e-06 4.602572476505217660e-07 1.137296080101144261e-02
# Frame 86:
1.507560509980822999e-02 8.659954731568992323e-04 6.346996992618172406e-01
3.723159082199882725e-04 1.317963771397264762e-02 7.724149367324122384e-01
4.368089739980390549e-06 5.409330478126714698e-07 1.138384660637084024e-02
# Frame 87:
1.507456936241493434e-02 8.419809374907320570e-04 6.341606189123377701e-01
3.849780110382940439e-04 1.311882144418808141e-02 7.728588566168054230e-01
4.394114638527403311e-06 4.761931807290238660e-07 1.137074723291296718e-02
# Frame 88:
1.510633188171858418e-02 8.668306942660348189e-04 6.314359498294609407e-01
3.814926125060050482e-04 1.315284213793936792e-02 7.750851920824520791e-01
4.439850500657472112e-06 5.229470573989927778e-07 1.137940271705184525e-02
# Frame 89:
1.517686459472618495e-02 8.365419592543638745e-04 6.387247176938704030e-01
3.907387515774692717e-04 1.322226799529389873e-02 7.690863800458141997e-01
4.435702523413067146e-06 4.342763469930974013e-07 1.143927209044654121e-02
# Frame 90:
1.510942208385655273e-02 8.347920445319645952e-04 6.353051615137308428e-01
3.861671098018902679e-04 1.315270521875815633e-02 7.719168008264297720e-01
4.409603247491415183e-06 4.762690774984798980e-07 1.138727549315594889e-02
# Frame 91:
1.488568919140554649e-02 8.217588716425375684e-04 6.426623232614151471e-01
3.581388695624360867e-04 1.302465258166556929e-02 7.658105346042943795e-01
4.263253592769245375e-06 4.899481877869700041e-07 1.128425727466545597e-02
# Frame 92:
-1.498352688425401598e-02 -8.678387389999018620e-04 -6.341363821169702097e-01
-3.510073490187351594e-04 -1.310480944774778875e-02 -7.728809622189547479e-01
-4.255252998311153860e-06 -5.259425873767231152e-07 -1.135555537743539352e-02
# Frame 93:
1.519370389947873566e-02 8.762718056879005915e-04 6.367210642799864262e-01
3.962035658602787468e-04 1.328737196092820774e-02 7.707444996437382567e-01
4.460076216949246097e-06 6.478548461573505285e-07 1.144005373312722944e-02
# Frame 94:
1.526806359827167364e-02 8.097922286245682125e-04 6.263833868294694796e-01
3.865180057359986188e-04 1.329112095976131384e-02 7.791668097312089980e-01
4.464612448570546828e-06 4.499719540306736498e-07 1.150488918538202995e-02
# Frame 95:
1.573626073063820463e-02 7.774880836251175801e-04 6.009549913045419967e-01
4.082546053599610909e-04 1.363989468017259496e-02 7.989243764490747690e-01
4.725265180001143281e-06 4.272930381231600916e-07 1.176823397510592083e-02
# Frame 96:
1.670292486906084853e-02 7.994593082847361492e-04 5.490633247510332549e-01
4.508203269554734885e-04 1.436375052200183564e-02 8.353988080425750473e-01
5.225234615202234473e-06 3.885033205435329864e-07 1.233488972548742353e-02
# Frame 97:
1.801887613008804762e-02 9.552448264246469816e-04 4.728111921138233309e-01
5.092927873115021820e-04 1.545201501553555672e-02 8.807458659674937129e-01
5.852892824818541851e-06 5.777838480516561573e-07 1.310265704471008999e-02
# Frame 98:
1.915974327150322259e-02 1.062208600365055012e-03 3.887936308932467000e-01
5.508592169579565974e-04 1.635719832780868285e-02 9.208768266448997819e-01
6.410921101332728193e-06 6.597971206708846643e-07 1.375853376551383275e-02
# Frame 99:
2.011364900465683475e-02 1.198847980411878482e-03 2.962134859879247406e-01
5.950986223001503888e-04 1.713220456236765749e-02 9.546481222519110910e-01
6.881208623366049432e-06 7.287349903932878633e-07 1.430631551447335108e-02
# Frame 100:
2.094345084873060550e-02 1.283150071174623099e-03 1.914306426232336711e-01
6.398305804656990309e-04 1.771076372896477139e-02 9.810115967707805362e-01
7.399587065761924177e-06 7.799070143510608201e-07 1.470377054173848709e-02
# Frame 101:
